Number,Name,Type_1,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,isLegendary,Color,hasGender,Pr_Male,Egg_Group_1,hasMegaEvolution,Height_m,Weight_kg,Catch_Rate,Body_Style
1,Bulbasaur,9,57,17,24,23,41,37,24,0,0,3,1,6,10,0,6,49,5,9
2,Ivysaur,9,94,31,37,37,55,50,37,0,0,3,1,6,10,0,10,88,5,9
3,Venusaur,9,165,51,56,55,70,66,57,0,0,3,1,6,10,1,20,311,5,9
4,Charmander,6,51,11,27,18,36,22,42,0,0,7,1,6,10,0,5,63,5,0
5,Charmeleon,6,94,29,39,32,55,37,57,0,0,7,1,6,10,0,11,113,5,0
6,Charizard,6,169,49,58,51,77,54,74,0,0,7,1,6,10,1,17,299,5,0
7,Squirtle,17,54,16,23,39,27,36,22,0,0,1,1,6,10,0,4,67,5,0
8,Wartortle,17,94,30,38,53,41,50,35,0,0,1,1,6,10,0,10,132,5,0
9,Blastoise,17,167,50,57,67,58,69,55,0,0,1,1,6,10,1,16,291,5,0
10,Caterpie,0,3,17,10,11,2,0,24,0,0,3,1,3,1,0,2,21,32,7
11,Metapod,0,6,21,3,29,5,2,10,0,0,3,1,3,1,0,6,71,15,10
12,Butterfree,0,91,31,20,24,62,50,47,0,0,8,1,3,1,0,11,169,5,2
13,Weedle,0,3,12,12,7,2,0,29,0,0,2,1,3,1,0,2,24,32,10
14,Kakuna,0,6,17,7,24,5,2,15,0,0,9,1,3,1,0,5,72,15,10
15,Beedrill,0,91,36,64,15,22,50,52,0,0,9,1,3,1,1,10,160,5,2
16,Pidgey,12,19,12,20,15,12,8,33,0,0,2,1,3,6,0,2,12,32,12
17,Pidgeotto,12,72,34,35,29,27,22,48,0,0,2,1,3,6,0,11,163,15,12
18,Pidgeot,12,136,54,54,48,45,41,75,0,0,2,1,3,6,1,15,195,5,12
19,Rattata,12,20,5,31,11,5,8,49,0,0,6,1,3,5,0,2,27,32,9
20,Raticate,12,98,26,55,34,27,41,71,0,0,2,1,3,5,0,6,110,17,9
21,Spearow,12,23,12,35,7,9,4,47,0,0,2,1,3,6,0,2,14,32,12
22,Fearow,12,112,36,64,39,37,33,74,0,0,2,1,3,6,0,12,191,13,12
23,Ekans,13,36,7,35,19,17,26,32,0,0,6,1,3,5,0,20,49,32,10
24,Arbok,13,110,31,59,43,41,49,57,0,0,6,1,3,5,0,33,259,13,10
25,Pikachu,3,59,7,30,15,27,22,66,0,0,9,1,3,5,0,3,43,26,9
26,Raichu,3,142,31,64,29,62,50,83,0,0,9,1,3,5,0,7,163,11,0
27,Sandshrew,10,43,21,50,57,2,3,19,0,0,9,1,3,5,0,5,85,32,0
28,Sandslash,10,116,46,72,73,22,27,42,0,0,9,1,3,5,0,10,160,13,0
29,Nidoran♀,13,31,26,22,26,17,13,20,0,0,1,1,0,10,0,3,50,31,9
30,Nidorina,13,81,41,37,41,31,27,33,0,0,1,1,0,11,0,7,119,15,9
31,Nidoqueen,13,153,60,66,59,50,54,53,0,0,1,1,0,11,0,13,250,5,0
32,Nidoran♂,13,30,18,32,15,17,13,29,0,0,6,1,7,10,0,4,67,31,9
33,Nidorino,13,81,32,47,31,31,27,42,0,0,6,1,7,10,0,9,115,15,9
34,Nidoking,13,153,52,73,50,58,45,62,0,0,6,1,7,10,0,14,256,5,0
35,Clefairy,4,60,41,20,22,36,37,15,0,0,5,1,2,4,0,5,54,21,0
36,Clefable,4,140,63,45,47,66,59,37,0,0,5,1,2,4,0,13,196,2,0
37,Vulpix,6,42,10,16,15,27,37,42,0,0,2,1,2,5,0,5,71,26,9
38,Ninetales,6,153,44,51,48,56,66,74,0,0,9,1,2,5,0,11,118,11,9
39,Jigglypuff,12,29,77,20,3,22,2,3,0,0,5,1,2,4,0,4,39,24,1
40,Wigglytuff,12,109,85,45,20,58,22,24,0,0,5,1,2,4,0,10,85,6,1
41,Zubat,13,17,12,20,11,8,13,32,0,0,6,1,3,6,0,7,54,32,12
42,Golbat,13,119,46,54,44,41,45,66,0,0,6,1,3,6,0,16,238,13,12
43,Oddish,9,59,17,25,29,50,37,10,0,0,1,1,3,7,0,4,38,32,5
44,Gloom,9,91,31,40,44,58,45,19,0,0,1,1,3,7,0,7,64,15,1
45,Vileplume,9,146,46,54,57,78,59,29,0,0,7,1,3,7,0,12,111,5,1
46,Paras,0,35,7,45,29,22,27,7,0,0,7,1,3,1,0,2,38,26,7
47,Parasect,0,94,31,69,53,36,50,10,0,0,7,1,3,1,0,10,160,11,7
48,Venonat,0,47,31,30,24,17,27,24,0,0,6,1,3,1,0,10,163,26,1
49,Venomoth,0,116,41,40,34,62,45,66,0,0,6,1,3,1,0,15,87,11,2
50,Diglett,10,26,1,30,5,12,18,70,0,0,2,1,3,5,0,1,4,32,4
51,Dugtrio,10,94,7,54,24,27,41,91,0,0,2,1,3,5,0,6,175,6,8
52,Meowth,12,38,12,20,11,17,13,66,0,0,9,1,3,5,0,3,32,32,9
53,Persian,12,111,36,45,34,41,37,88,0,0,9,1,3,5,0,10,169,13,9
54,Psyduck,17,59,21,27,22,41,22,32,0,0,9,1,3,12,0,7,116,26,0
55,Golduck,17,152,51,56,51,66,50,62,0,0,1,1,3,12,0,17,274,11,0
56,Mankey,5,47,12,54,11,12,18,47,0,0,2,1,3,5,0,4,155,26,0
57,Primeape,5,119,36,76,34,36,41,70,0,0,2,1,3,5,0,10,169,11,0
58,Growlithe,6,73,26,45,20,45,22,37,0,0,2,1,5,5,0,6,113,26,9
59,Arcanine,6,175,60,81,53,70,50,70,0,0,2,1,5,5,0,19,345,11,9
60,Poliwag,17,43,12,25,15,17,13,66,0,0,1,1,3,12,0,5,86,32,5
61,Poliwhirl,17,89,36,40,39,27,22,66,0,0,1,1,3,12,0,10,119,15,1
62,Poliwrath,17,157,60,69,64,45,59,47,0,0,1,1,3,12,0,13,236,5,1
63,Abra,14,52,3,3,2,73,27,66,0,0,2,1,5,8,0,9,115,27,0
64,Kadabra,14,92,12,12,7,84,41,79,0,0,2,1,5,8,0,13,243,14,0
65,Alakazam,14,152,26,25,20,90,62,91,0,0,2,1,5,8,1,15,219,6,1
66,Machop,5,47,41,54,24,12,8,15,0,0,4,1,5,8,0,7,115,25,0
67,Machoke,5,94,51,72,44,27,32,24,0,0,4,1,5,8,0,15,265,13,1
68,Machamp,5,153,60,91,53,41,54,32,0,0,4,1,5,8,0,16,329,5,1
69,Bellsprout,9,43,21,50,11,45,3,19,0,0,3,1,3,7,0,6,30,32,1
70,Weepinbell,9,90,36,64,24,58,18,32,0,0,3,1,3,7,0,10,46,15,4
71,Victreebel,9,146,51,76,39,70,41,47,0,0,3,1,3,7,0,17,99,5,4
72,Tentacool,17,66,12,15,11,27,66,47,0,0,1,1,3,14,0,9,214,26,11
73,Tentacruel,17,159,51,45,39,55,77,74,0,0,1,1,3,14,0,16,238,8,11
74,Geodude,15,43,12,54,67,8,3,3,0,0,2,1,3,9,0,3,119,32,3
75,Graveler,15,90,26,69,75,22,18,15,0,0,2,1,3,9,0,10,316,15,1
76,Golem,15,148,51,85,84,31,37,24,0,0,2,1,3,9,0,14,377,5,1
77,Ponyta,6,96,21,59,29,41,37,66,0,0,9,1,3,5,0,10,163,26,9
78,Rapidash,6,152,36,72,44,55,50,79,0,0,9,1,3,5,0,17,305,8,9
79,Slowpoke,17,55,60,40,39,17,13,2,0,0,5,1,3,10,0,12,187,26,9
80,Slowbro,17,146,63,50,73,70,50,10,0,0,5,1,3,10,1,16,276,11,0
81,Magnemite,3,61,3,12,44,66,27,24,0,0,4,0,4,9,0,2,43,26,3
82,Magneton,3,126,21,35,64,84,41,47,0,0,4,0,4,9,0,10,250,8,8
83,Farfetch'd,12,75,23,40,29,34,34,37,0,0,2,1,3,6,0,7,96,5,12
84,Doduo,12,52,7,59,20,12,8,52,0,0,2,1,3,6,0,14,194,26,5
85,Dodrio,12,122,31,81,44,36,32,74,0,0,2,1,3,6,0,18,290,5,5
86,Seel,17,61,36,20,29,22,41,24,0,0,8,1,3,12,0,11,298,26,13
87,Dewgong,17,135,60,45,53,45,62,47,0,0,8,1,3,12,0,17,325,11,13
88,Grimer,13,61,51,54,24,17,22,7,0,0,6,1,3,0,0,9,163,26,3
89,Muk,13,152,70,76,48,41,66,29,0,0,6,1,3,0,0,12,163,11,3
90,Shellder,17,47,5,40,67,22,2,19,0,0,6,1,3,14,0,2,30,26,6
91,Cloyster,17,165,21,69,93,58,18,47,0,0,6,1,3,14,0,15,331,8,6
92,Gastly,8,52,5,12,7,70,8,57,0,0,6,1,3,0,0,13,0,26,6
93,Haunter,8,94,17,25,20,82,27,70,0,0,6,1,3,0,0,16,0,13,3
94,Gengar,8,152,31,40,34,88,45,83,0,0,6,1,3,0,1,15,200,5,0
95,Onix,15,89,7,20,91,8,18,47,0,0,4,1,3,9,0,47,363,5,10
96,Drowzee,14,62,31,23,20,20,59,21,0,0,9,1,3,8,0,10,170,26,1
97,Hypno,14,140,56,48,44,48,75,44,0,0,9,1,3,8,0,16,272,11,1
98,Krabby,17,61,5,76,62,5,2,29,0,0,7,1,3,14,0,3,47,30,7
99,Kingler,17,135,26,91,75,27,22,52,0,0,7,1,3,14,0,13,250,8,7
100,Voltorb,3,64,12,10,24,31,27,74,0,0,7,0,4,9,0,4,76,26,6
101,Electrode,3,137,31,25,44,55,50,97,0,0,7,0,4,9,0,12,261,8,6
102,Exeggcute,9,61,31,15,53,36,18,19,0,0,5,1,3,7,0,3,18,13,8
103,Exeggutor,9,162,63,69,57,85,37,32,0,0,9,1,3,7,0,20,325,5,5
104,Cubone,10,59,21,25,64,17,22,15,0,0,2,1,3,10,0,3,47,26,0
105,Marowak,10,105,31,54,73,27,50,24,0,0,2,1,3,10,0,10,213,11,0
106,Hitmonlee,5,119,21,85,27,12,73,63,0,0,2,1,7,8,0,15,224,5,1
107,Hitmonchan,5,119,21,76,52,12,73,53,0,0,2,1,7,8,0,14,226,5,1
108,Lickitung,12,89,60,30,48,36,45,10,0,0,5,1,3,10,0,12,260,5,0
109,Koffing,13,68,12,40,64,36,18,15,0,0,6,1,3,0,0,5,6,26,6
110,Weezing,13,146,36,64,79,58,41,37,0,0,6,1,3,0,0,12,70,8,8
111,Rhyhorn,10,70,51,59,64,8,3,7,0,0,4,1,3,10,0,10,323,15,9
112,Rhydon,10,142,70,91,79,22,18,19,0,0,4,1,3,10,0,19,325,8,0
113,Chansey,12,116,92,0,0,12,69,29,0,0,5,1,0,4,0,11,182,3,0
